COAST,THICK,PCB,DDE,DDD
ATLANTIC,41.5,5.2,1.9,0.5
ATLANTIC,52,5.9,1.5,0.13
ATLANTIC,51.5,6.3,1.8,0.21
MAURICE,44.5,10,2.5,0.26
MAURICE,53.5,3.7,1.7,0.16
DELAWARE,38.5,5.4,2.6,0.3
DELAWARE,42,20,4.84,0.78
DELAWARE,42,11,3.7,0.76
DELAWARE,48,7.4,3.2,0.46
DELAWARE,45.5,9.3,4.8,0.62
ATLANTIC,58,2.7,0.51,0.09
ATLANTIC,47,4.2,1.7,0.23
ATLANTIC,43,7.8,3.5,0.53
ATLANTIC,44,4.8,1.4,0.66
ATLANTIC,51,3.1,0.7,0.14
DELAWARE,54,10,5.7,0.47
DELAWARE,41,5.4,2,0.37
DELAWARE,47,8.6,3.3,0.53
DELAWARE,47,42,7.7,0.92
DELAWARE,49.5,13,3.7,0.58
DELAWARE,47,14,6.2,0.71
ATLANTIC,58,8.8,3.3,0.33
ATLANTIC,46,6.6,1.9,0.3
ATLANTIC,38,6.4,2.5,0.34
ATLANTIC,53.5,5.1,2.3,0.29